public_identifier,starts_at_day,starts_at_month,starts_at_year,ends_at_day,ends_at_month,ends_at_year,field_of_study,degree_name,school,school_linkedin_profile_url,description,logo_url,grade,activities_and_societies
"diwakar-nayak-01355020a","1","8","2022","31","5","2024","Information Systems","Master of Science - MS","Central Michigan University","https://www.linkedin.com/company/162966/","Skills: Data Visualization · Git · Business Analytics · Project Management","https://media.licdn.com/dms/image/C560BAQEpF8plk8R_Bw/company-logo_400_400/0/1676584830061/central_michigan_university_logo?e=1717632000&v=beta&t=rEfYzL2AgN3wlcsV5qzQHpD9K0XFaYc6kD884Z1Vo_I",,
"diwakar-nayak-01355020a","1","8","2017","31","5","2021","Computer Science","Bachelor of Technology - BTech","INSTITUTE OF AERONAUTICAL ENGINEERING","https://www.linkedin.com/company/2712285/","Skills: SQL · Python (Programming Language)","https://media.licdn.com/dms/image/D4E0BAQHy9m1CaSIb5Q/company-logo_400_400/0/1702622413342/institute_of_aeronautical_engineering_logo?e=1717632000&v=beta&t=VhKC6l6WK8eWUJSXsNoFvGJ6GEK-bVHW7Lr-jaQ4iI0",,
"diwakar-nayak-01355020a",,,,,,,,,"Kakatiya high school Nizamabad",,,,,
"diwakar-nayak-01355020a",,,,,,,,,"Narayana junior college",,,,,
"entrust","1","1","2001","1","1","2003",,,"Portland State University",,,,,
"entrust","1","1","1998","1","1","2000","Electronics Engineering Technology","Associates","ITT Technical Institute",,,,,
"fortnow","1","1","1986","31","12","1989","Applied Mathematics","Ph.D.","Massachusetts Institute of Technology","https://www.linkedin.com/school/mit/",,"https://media-exp1.licdn.com/dms/image/C4E0BAQHBK7qvTvtkZA/company-logo_100_100/0/1519856414204?e=1655942400&v=beta&t=xvpk-8NszpdxH2KGIkfjGXTexySIgxpbbRfeIJST1FQ",,
"fortnow","1","1","1985","31","12","1986","Computer Science","None","University of California, Berkeley","https://www.linkedin.com/school/uc-berkeley/",,"https://media-exp1.licdn.com/dms/image/C4D0BAQGF8uB7vUoJ0Q/company-logo_100_100/0/1639585476982?e=1655942400&v=beta&t=_1dF9Fien_w4m3xBPJDFmuaaTYrpuJ-OvhSx7K3zZoM",,
"fortnow","1","1","1981","31","12","1985","Computer Science, Mathematics","BA","Cornell University","https://www.linkedin.com/school/cornell-university/",,"https://media-exp1.licdn.com/dms/image/C560BAQE8SOXGRyv7LA/company-logo_100_100/0/1519856401039?e=1655942400&v=beta&t=Yx0h-4Rv3J2klEor8_AaQ9g9DzV6KqjCWpXNKyaRUdg",,
"gazcarater","1","8","2023","31","5","2024",,"Master of Information Technology and Management: Major in Data analytics.","Illinois Institute of Technology","https://www.linkedin.com/company/6328/","Relevant Coursework:
- Data Mining & Machine Learning (Python project, supervised and unsupervised learning, outlier detection, association rules, recommender systems )
- Advanced Topics in Data Management (Advanced SQL, Access and Oracle SQL Developer)
- Programming for Data Analytics (R, Statistics, Linear regression)
- Database security
- Object-Oriented System Analysis, Modeling and Design
- Data Warehousing","https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
"gazcarater","1","9","2022",,,,"Telecommunication Engineering","Master of Engineering - MEng","Universidad Politécnica de Madrid","https://www.linkedin.com/company/166617/","2 years of Master's Degree. The first of which is general and the second of which is specialized.
Relevant Coursework:
- Communication systems
- Multimedia systems and services 
- Applications and services
- Communication networks
- Integration of networks, applications and content
- Strategic vision of the integration of technologies and systems in the ICT sector

ABET accreditation.","https://media.licdn.com/dms/image/D4D0BAQHJPlcA68PA2Q/company-logo_400_400/0/1686904766811/universidad_politecnica_de_madrid_logo?e=1717632000&v=beta&t=yxg3h7Q1mtAACW6v49m0WBf1yBiU-fef-zBlGJsuUzk",,
"gazcarater","1","9","2021","28","2","2022",,"Magistrale in Communications and Computer Networks Engineering","Politecnico di Torino","https://www.linkedin.com/company/165510/","Six months of the Bachelor’s Degree were taken at Politecnico di Torino. Studying abroad gave me a broader perspective of the world, as well as increasing my ability to be independent and responsible.
Relevant Coursework:
- Computer Networks Design and management.
- Distributted systems programming.
- Data Science and Database Technology
- Information System Security","https://media.licdn.com/dms/image/C4D0BAQGbyRTmgwi0uw/company-logo_400_400/0/1630550785230/politecnico_di_torino_logo?e=1717632000&v=beta&t=JNEegmpqr-2CBXeq1ixGINq3MaPa125nb9FKXeCDzc8",,
"gazcarater","1","9","2018","31","7","2022","Telecommunication Technologies and Services Engineering","Bachelor of Engineering - BE","Universidad Politécnica de Madrid","https://www.linkedin.com/company/166617/","Major in Computer Science
ABET accreditation.","https://media.licdn.com/dms/image/D4D0BAQHJPlcA68PA2Q/company-logo_400_400/0/1686904766811/universidad_politecnica_de_madrid_logo?e=1717632000&v=beta&t=yxg3h7Q1mtAACW6v49m0WBf1yBiU-fef-zBlGJsuUzk",,
"gazcarater","1","1","2016","31","12","2018","Bachelor of Technology","Colegio San Agustín deMadrid","Colegio San Agustin",,,,,
"gopal-raj-suresh-d","1","8","2023","31","8","2025","Information Technology","Master's degree","Illinois Institute of Technology","https://www.linkedin.com/company/6328/",,"https://media.licdn.com/dms/image/C4D0BAQEd6wnmQCCIHw/company-logo_400_400/0/1630559679535/illinois_institute_of_technology_logo?e=1717632000&v=beta&t=9_wR1v9lt8WVPSux8a585YLwqzmyIqxwEYp0mHeXRL0",,
